task_id,taxonomy,profile,strategy,service_id,display_name,utility,best_utility,regret,cost_per_unit,latency_seconds,quality_score,uptime
1,tool.data.search,cost_first,asm_topsis,tavily/search-api@v1,Tavily Search,0.9436,0.9436,0.0,0.001,0.8,0.92,0.998
1,tool.data.search,cost_first,weighted_average,tavily/search-api@v1,Tavily Search,0.9436,0.9436,0.0,0.001,0.8,0.92,0.998
1,tool.data.search,cost_first,cheapest_first,tavily/search-api@v1,Tavily Search,0.9436,0.9436,0.0,0.001,0.8,0.92,0.998
1,tool.data.search,cost_first,fastest_first,exa/search-api@v1,Exa Search,0.0564,0.9436,0.8872,0.003,0.6,0.95,0.997
1,tool.data.search,cost_first,highest_quality_first,exa/search-api@v1,Exa Search,0.0564,0.9436,0.8872,0.003,0.6,0.95,0.997
1,tool.data.search,cost_first,most_expensive_first,exa/search-api@v1,Exa Search,0.0564,0.9436,0.8872,0.003,0.6,0.95,0.997
1,tool.data.search,cost_first,random,tavily/search-api@v1,Tavily Search,0.9436,0.9436,0.0,0.001,0.8,0.92,0.998
2,tool.productivity.spreadsheet,quality_first,asm_topsis,google/sheets-api@v4,Google Sheets,1.0,1.0,0.0,0,0.1,0.5,0.9995
2,tool.productivity.spreadsheet,quality_first,weighted_average,google/sheets-api@v4,Google Sheets,1.0,1.0,0.0,0,0.1,0.5,0.9995
2,tool.productivity.spreadsheet,quality_first,cheapest_first,airtable/api@v1,Airtable,0.0,1.0,1.0,0,0.12,0.5,0.999
2,tool.productivity.spreadsheet,quality_first,fastest_first,google/sheets-api@v4,Google Sheets,1.0,1.0,0.0,0,0.1,0.5,0.9995
2,tool.productivity.spreadsheet,quality_first,highest_quality_first,airtable/api@v1,Airtable,0.0,1.0,1.0,0,0.12,0.5,0.999
2,tool.productivity.spreadsheet,quality_first,most_expensive_first,airtable/api@v1,Airtable,0.0,1.0,1.0,0,0.12,0.5,0.999
2,tool.productivity.spreadsheet,quality_first,random,airtable/api@v1,Airtable,0.0,1.0,1.0,0,0.12,0.5,0.999
3,ai.video.generation,speed_first,asm_topsis,kuaishou/kling-3.0@3.0,Kling 3.0,0.5357,0.5357,0.0,0.029,60.0,0.835,0.5
3,ai.video.generation,speed_first,weighted_average,google/veo-3.1@3.1,Veo 3.1,0.4643,0.5357,0.0714,0.2,45.0,0.847,0.5
3,ai.video.generation,speed_first,cheapest_first,kuaishou/kling-3.0@3.0,Kling 3.0,0.5357,0.5357,0.0,0.029,60.0,0.835,0.5
3,ai.video.generation,speed_first,fastest_first,google/veo-3.1@3.1,Veo 3.1,0.4643,0.5357,0.0714,0.2,45.0,0.847,0.5
3,ai.video.generation,speed_first,highest_quality_first,google/veo-3.1@3.1,Veo 3.1,0.4643,0.5357,0.0714,0.2,45.0,0.847,0.5
3,ai.video.generation,speed_first,most_expensive_first,google/veo-3.1@3.1,Veo 3.1,0.4643,0.5357,0.0714,0.2,45.0,0.847,0.5
3,ai.video.generation,speed_first,random,google/veo-3.1@3.1,Veo 3.1,0.4643,0.5357,0.0714,0.2,45.0,0.847,0.5
4,infra.compute.gpu,cost_first,asm_topsis,runpod/gpu-serverless@1.0,RunPod Serverless GPU,1.0,1.0,0.0,0.00019,3.0,0.5,0.998
4,infra.compute.gpu,cost_first,weighted_average,runpod/gpu-serverless@1.0,RunPod Serverless GPU,1.0,1.0,0.0,0.00019,3.0,0.5,0.998
4,infra.compute.gpu,cost_first,cheapest_first,runpod/gpu-serverless@1.0,RunPod Serverless GPU,1.0,1.0,0.0,0.00019,3.0,0.5,0.998
4,infra.compute.gpu,cost_first,fastest_first,runpod/gpu-serverless@1.0,RunPod Serverless GPU,1.0,1.0,0.0,0.00019,3.0,0.5,0.998
4,infra.compute.gpu,cost_first,highest_quality_first,replicate/gpu-serverless@1.0,Replicate Serverless GPU,0.0,1.0,1.0,0.000225,5.0,0.5,0.995
4,infra.compute.gpu,cost_first,most_expensive_first,replicate/gpu-serverless@1.0,Replicate Serverless GPU,0.0,1.0,1.0,0.000225,5.0,0.5,0.995
4,infra.compute.gpu,cost_first,random,runpod/gpu-serverless@1.0,RunPod Serverless GPU,1.0,1.0,0.0,0.00019,3.0,0.5,0.998
5,tool.data.search,quality_first,asm_topsis,tavily/search-api@v1,Tavily Search,0.6015,0.6015,0.0,0.001,0.8,0.92,0.998
5,tool.data.search,quality_first,weighted_average,exa/search-api@v1,Exa Search,0.3985,0.6015,0.203,0.003,0.6,0.95,0.997
5,tool.data.search,quality_first,cheapest_first,tavily/search-api@v1,Tavily Search,0.6015,0.6015,0.0,0.001,0.8,0.92,0.998
5,tool.data.search,quality_first,fastest_first,exa/search-api@v1,Exa Search,0.3985,0.6015,0.203,0.003,0.6,0.95,0.997
5,tool.data.search,quality_first,highest_quality_first,exa/search-api@v1,Exa Search,0.3985,0.6015,0.203,0.003,0.6,0.95,0.997
5,tool.data.search,quality_first,most_expensive_first,exa/search-api@v1,Exa Search,0.3985,0.6015,0.203,0.003,0.6,0.95,0.997
5,tool.data.search,quality_first,random,tavily/search-api@v1,Tavily Search,0.6015,0.6015,0.0,0.001,0.8,0.92,0.998
6,tool.communication.email,cost_first,asm_topsis,resend/email-api@v1,Resend,1.0,1.0,0.0,0.00028,0.3,0.985,0.999
6,tool.communication.email,cost_first,weighted_average,resend/email-api@v1,Resend,1.0,1.0,0.0,0.00028,0.3,0.985,0.999
6,tool.communication.email,cost_first,cheapest_first,resend/email-api@v1,Resend,1.0,1.0,0.0,0.00028,0.3,0.985,0.999
6,tool.communication.email,cost_first,fastest_first,resend/email-api@v1,Resend,1.0,1.0,0.0,0.00028,0.3,0.985,0.999
6,tool.communication.email,cost_first,highest_quality_first,resend/email-api@v1,Resend,1.0,1.0,0.0,0.00028,0.3,0.985,0.999
6,tool.communication.email,cost_first,most_expensive_first,twilio/sendgrid@v3,SendGrid,0.0,1.0,1.0,0.00035,0.4,0.04,0.999
